Country,Sex,variable,V1
ESP,Male,stacked,0.118547746516228
EST,Female,preds,0.293774793160799
EST,Female,preds_boost,0.258735626689877
EST,Female,pred_LC_svd,0.305435137914993
EST,Female,LCwithGAM,0.419788163123709
EST,Female,RotatedLC,0.422830285310988
EST,Female,stacked,0.359818051643491
EST,Male,preds,0.44971600283486
EST,Male,preds_boost,0.376412979666973
EST,Male,pred_LC_svd,0.499234230789293
EST,Male,LCwithGAM,0.343239392831211
EST,Male,RotatedLC,0.432604929555907
EST,Male,stacked,0.375699725067929
FIN,Female,preds,0.115110329171938
FIN,Female,preds_boost,0.102938735260314
FIN,Female,pred_LC_svd,0.11499179726541
FIN,Female,LCwithGAM,0.120009329266052
FIN,Female,RotatedLC,0.116471937693927
FIN,Female,stacked,0.0957025265599976
FIN,Male,preds,0.164136963874585
FIN,Male,preds_boost,0.132023317778338
FIN,Male,pred_LC_svd,0.110989595793081
FIN,Male,LCwithGAM,0.0834990030446513
FIN,Male,RotatedLC,0.0853858714339753
FIN,Male,stacked,0.0903238787726272
FRATNP,Female,preds,0.0642690482435108
FRATNP,Female,preds_boost,0.0533598747472075
FRATNP,Female,pred_LC_svd,0.0395282229623728
FRATNP,Female,LCwithGAM,0.0498662294102587
FRATNP,Female,RotatedLC,0.0333205080155874
FRATNP,Female,stacked,0.0290242454155028
FRATNP,Male,preds,0.123249522645245
FRATNP,Male,preds_boost,0.0902769821225052
FRATNP,Male,pred_LC_svd,0.0701908551313247
FRATNP,Male,LCwithGAM,0.0517112513702534
FRATNP,Male,RotatedLC,0.044502554878783
FRATNP,Male,stacked,0.0528328695070639
GBRTENW,Female,preds,0.0313169376236503
GBRTENW,Female,preds_boost,0.0223922093868291
GBRTENW,Female,pred_LC_svd,0.0305482320456648
GBRTENW,Female,LCwithGAM,0.0222005117540844
GBRTENW,Female,RotatedLC,0.0155235896023077
GBRTENW,Female,stacked,0.0150489817821088
GBRTENW,Male,preds,0.0664879832384495
GBRTENW,Male,preds_boost,0.0489336013893361
GBRTENW,Male,pred_LC_svd,0.0439962989563622
GBRTENW,Male,LCwithGAM,0.0244356617986017
GBRTENW,Male,RotatedLC,0.0591373267441439
GBRTENW,Male,stacked,0.0356439690506117
GBR_NIR,Female,preds,0.124413075779697
GBR_NIR,Female,preds_boost,0.112453588869491
GBR_NIR,Female,pred_LC_svd,0.140575442801773
GBR_NIR,Female,LCwithGAM,0.155484496507267
GBR_NIR,Female,RotatedLC,0.119173267052737
GBR_NIR,Female,stacked,0.109737296318566
GBR_NIR,Male,preds,0.148060658915752
GBR_NIR,Male,preds_boost,0.122407210817641
GBR_NIR,Male,pred_LC_svd,0.150374257108817
GBR_NIR,Male,LCwithGAM,0.146139198059604
GBR_NIR,Male,RotatedLC,0.132834821724585
GBR_NIR,Male,stacked,0.116142984483096
GBR_NP,Female,preds,0.0317320691155291
GBR_NP,Female,preds_boost,0.0217827717058952
GBR_NP,Female,pred_LC_svd,0.03090877391536
GBR_NP,Female,LCwithGAM,0.0225215423036802
GBR_NP,Female,RotatedLC,0.0147304527050943
GBR_NP,Female,stacked,0.0145589125278754
GBR_NP,Male,preds,0.0685117116932109
GBR_NP,Male,preds_boost,0.0492413773830888
GBR_NP,Male,pred_LC_svd,0.0457561867075431
GBR_NP,Male,LCwithGAM,0.0235398091949675
GBR_NP,Male,RotatedLC,0.0619619747494527
GBR_NP,Male,stacked,0.0360496026329205
GBR_SCO,Female,preds,0.102587975128358
