Country,min_mse_female_validation_RotatedLC,min_mse_male_validation_RotatedLC,mse_male_test_RotatedLC,mse_female_test_RotatedLC,min_mse_female_validation_LCwithGAM,min_mse_male_validation_LCwithGAM,mse_male_test_LCwithGAM,mse_female_test_LCwithGAM
LUX,0.1974889684706,0.138609002791217,0.420698652167252,0.22465756976118,0.188803247594542,0.136737435847686,0.417493880338653,0.220373318914973
LVA,0.0724504420411893,0.0836448674812458,0.409784899542674,0.29853152133765,0.0581964645904612,0.0702881053322583,0.360833586717617,0.281130217190378
NLD,0.0260613372087652,0.026520537024197,0.12924029377648,0.0581392422520061,0.0276654743661031,0.0166135183508205,0.122799629714798,0.0589387394863671
NOR,0.0793726066282846,0.0810918650520667,0.2356593957657,0.125271827805983,0.0781916025319763,0.0644847755252947,0.207548635400569,0.143910280989241
NZL_NP,0.0575023887625118,0.070456248390463,0.210251455779636,0.105329901617134,0.0580993625719761,0.0658593104435723,0.220492522486364,0.118205620712657
POL,0.0218071847588503,0.0828235856485546,0.365709474637237,0.100774979029817,0.0150921645649066,0.0216770374538031,0.26878360422841,0.11586277481552
PRT,0.0291058076786424,0.0575570049546931,0.189291758984156,0.105657048432147,0.0350414239015041,0.0262824184468321,0.475592052782725,0.169006995396551
RUS,0.0922447249821585,0.0961135538476209,0.156512298420113,0.168594451251561,0.0726590989830641,0.0602349083147842,0.0938952664566877,0.118808878229295
SVK,0.0580150413560861,0.103427114068247,0.320100243475068,0.201180731368561,0.0559121289425354,0.041230759778151,0.231629389393327,0.192685055040265
SVN,0.12591975417698,0.0965796324660122,0.373250465468994,0.336894453068608,0.136772045121371,0.0966558330547966,0.363543830349978,0.366504586519762
SWE,0.05505109598728,0.0509370030465329,0.128320786984419,0.0763483892874922,0.0559337843003596,0.0456270916240284,0.137156840361565,0.123534433642474
TWN,0.010175308188434,0.0258777058966269,0.134765320377394,0.0504800976861655,0.0166398527626946,0.0223436847973119,0.197369139796018,0.110101544210904
UKR,0.0549094328633686,0.0799730860295993,0.157609140474808,0.118383869223082,0.0354818558639371,0.0448613235069634,0.143252660974793,0.06148060118132
USA,0.00613693001616876,0.017079462908313,0.0425902954360134,0.0326910496898746,0.00711928427206293,0.00982359242174388,0.0339856677659548,0.0457366112603467
