basis_form,k_base,mse_male_validation,mse_female_validation,mse_male_test,mse_female_test,Country
tp,6,0.144132207041821,0.0626641118840131,1.51985699599636,0.40227303880244,BEL
tp,7,0.144132207041932,0.0626641118840657,1.51985699599766,0.402273038803024,BEL
ts,2,0.0245049603972839,0.0405531058280614,0.088381238945837,0.108605232376591,BEL
ts,3,0.0286690976672259,0.0484296824686349,0.211606244196945,0.247229508859474,BEL
ts,4,0.0337468188733394,0.0549078667838821,0.168674913328764,0.295599343809013,BEL
ts,5,0.0390146289434596,0.054735441751219,0.301820497548713,0.286554406134936,BEL
ts,6,0.142545551216178,0.0595995914555442,1.50072572080622,0.3680052614963,BEL
ts,7,0.142545551216278,0.0595995914555905,1.50072572080743,0.368005261496816,BEL
cs,2,0.0310286069848057,0.0511142268715438,0.0977145928012633,0.121897451079525,BGR
cs,3,0.0350431461931971,0.0489695619300522,0.234255407816168,0.114609150265654,BGR
cs,4,0.04171533902675,0.0503726605759247,0.286276786943468,0.134973434491029,BGR
cs,5,0.0568732819460475,0.0539147208375643,0.405664534206671,0.155993342226309,BGR
cs,6,0.176885351185507,0.112449328049017,1.49942558128973,0.69451007559855,BGR
cs,7,0.176885351185507,0.112449328049016,1.49942558128972,0.694510075598545,BGR
tp,2,0.0302248042042306,0.0511263555020776,0.0963397900782559,0.122065591482597,BGR
tp,3,0.0381221312106645,0.0482568608594531,0.267194550659774,0.109342054949986,BGR
tp,4,0.0309431357699079,0.0595202588795755,0.184273992071061,0.186944901812715,BGR
tp,5,0.0601505681206633,0.054235112615355,0.428075253859155,0.15942167608775,BGR
tp,6,0.0495893839829096,0.0695140111907829,0.420011806602715,0.27947037276842,BGR
tp,7,0.0495893839828871,0.0695140111907622,0.420011806602438,0.279470372768224,BGR
ts,2,0.0302261289777008,0.0511096842187365,0.0962611691862334,0.121906019300932,BGR
ts,3,0.0378904565170656,0.0481612036015947,0.265176885454723,0.10869041119055,BGR
ts,4,0.0307080108591423,0.0583252663451325,0.182264739306691,0.176326015278367,BGR
ts,5,0.0594108416313105,0.0540405753182591,0.421704095576825,0.157429707137862,BGR
ts,6,0.0473505382781195,0.0648130930778169,0.396743307025181,0.239397782176148,BGR
ts,7,0.047350538278097,0.0648130930777988,0.396743307024907,0.239397782175973,BGR
cs,2,0.0216324687268933,0.0215316831494208,0.0783523802825576,0.119167270127138,CAN
cs,3,0.0138906523378708,0.0165881115001615,0.081539395861267,0.0615224135076773,CAN
cs,4,0.0135861714200521,0.0175818390684428,0.0893877943191474,0.0803907322470947,CAN
cs,5,0.0134540506722784,0.0166160058008578,0.0899693976003668,0.0816782409641352,CAN
cs,6,0.0134206359656581,0.0164470537002387,0.0907127623995412,0.0820347028703362,CAN
cs,7,0.013420635965658,0.0164470537002387,0.0907127623995409,0.0820347028703362,CAN
tp,2,0.0211677250710072,0.0219767470354648,0.0770636267647539,0.12294266386328,CAN
tp,3,0.0133328729897943,0.0169469821440617,0.0739944186327424,0.0659030189019525,CAN
tp,4,0.0161328760949768,0.0215236866528416,0.0836609984466924,0.0894763909967559,CAN
tp,5,0.0136715174867133,0.0169033380618168,0.0926148534713861,0.0846386139741109,CAN
tp,6,0.0177394717664709,0.0169937209474222,0.098374787929171,0.0585416404835993,CAN
tp,7,0.0177394717664709,0.0169937209474273,0.0983747879291688,0.05854164048363,CAN
ts,2,0.0210823811919558,0.0219164576976963,0.0766744745710868,0.122556246449796,CAN
ts,3,0.0132708962643499,0.0168686032547259,0.0735038711694413,0.0653676770480487,CAN
ts,4,0.0161433131530514,0.0215462838941852,0.0838374964443677,0.0895567606173097,CAN
ts,5,0.013573505978167,0.0167450313791029,0.0914249683263892,0.0830931767020336,CAN
ts,6,0.017542093858615,0.0171107320505496,0.0972217490334797,0.0588988152040541,CAN
ts,7,0.0175420938586151,0.0171107320505542,0.0972217490334766,0.0588988152040823,CAN
cs,2,0.0370975792107493,0.0416077421150455,0.2206336402256,0.165034146369941,CZE
cs,3,0.0385654136766197,0.042522623081924,0.252983949440968,0.21373548409674,CZE
cs,4,0.0965181917710154,0.04233401506168,0.861035235362425,0.202283611206138,CZE
cs,5,0.124057808942024,0.0431090754474446,1.17700747230695,0.206854704238075,CZE
cs,6,0.135865015855969,0.044281722310574,1.32879908412335,0.221470919257109,CZE
cs,7,0.135865015855969,0.0442817223105738,1.32879908412336,0.221470919257108,CZE
tp,2,0.0376928137961607,0.041545731689253,0.224028753313945,0.16694917514854,CZE
tp,3,0.0399363843783542,0.0425716399749483,0.276066574339764,0.217965797975549,CZE
tp,4,0.0966681697515503,0.0416748572978713,0.833927292758474,0.167089567506356,CZE
tp,5,0.125334026917285,0.0429245531705604,1.19655206040696,0.209452111087966,CZE
tp,6,0.0762589069700913,0.0586130135666994,0.594266438795817,0.426570406608232,CZE
tp,7,0.0762589069700523,0.0586130135667331,0.594266438795402,0.426570406608711,CZE
ts,2,0.0380218091954621,0.0415645075519939,0.225598495275269,0.166996696348227,CZE
ts,3,0.0398383039359217,0.0425351472290566,0.274930844891536,0.217324023953117,CZE
ts,4,0.0960264672164287,0.0416640696785586,0.826876447652114,0.166851181362032,CZE
ts,5,0.125276375358074,0.042803862720648,1.19586411608754,0.207908412267174,CZE
ts,6,0.0750964625292884,0.0449650588813471,0.581634805009342,0.205590396695852,CZE
ts,7,0.0750964625292504,0.0449650588813496,0.581634805008943,0.205590396695926,CZE
cs,2,0.0495556856789926,0.0585478888722998,0.259740175335033,0.191167082501887,DNK
cs,3,0.0673511609836512,0.0628060003681342,0.440546730924201,0.196506899047073,DNK
cs,4,0.0786752046042279,0.0641500487194944,0.542878011266929,0.206850483098054,DNK
cs,5,0.0791839475504779,0.0637363501489656,0.550728965332526,0.207760369256684,DNK
cs,6,0.0795746615387744,0.0634874141035866,0.556838662678599,0.208414759432986,DNK
cs,7,0.0795746615387744,0.0634874141035867,0.556838662678599,0.208414759432986,DNK
tp,2,0.0495797752889265,0.0584400216211932,0.258322051058407,0.185649151066439,DNK
tp,3,0.0680307809886006,0.0625272844754622,0.451508057254229,0.190987112208988,DNK
tp,4,0.0600786951692343,0.0618473213296023,0.349573036753402,0.168050840541703,DNK
tp,5,0.0809119350539469,0.0638702457017031,0.580149079356172,0.208536549481284,DNK
tp,6,0.0555284016397262,0.0645794788582971,0.313917250617088,0.213940749060687,DNK
tp,7,0.0555284016397274,0.0645794788582944,0.313917250617093,0.213940749060623,DNK
ts,2,0.04958747848206,0.058451362372195,0.258448408803946,0.18600859428188,DNK
ts,3,0.0674558794541499,0.0625054449497912,0.446761453792332,0.191142799990699,DNK
ts,4,0.0596442118198394,0.0620988466512663,0.345997961722281,0.170345768395661,DNK
ts,5,0.0798981184395297,0.0638119000592288,0.570563380717949,0.207614700175891,DNK
ts,6,0.0557510205940886,0.0638166343052458,0.314510917496388,0.204736917427742,DNK
ts,7,0.0557510205940897,0.0638166343052439,0.314510917496391,0.204736917427695,DNK
cs,2,0.137133489193667,0.136015806226533,0.431181123581678,0.369225329171358,EST
cs,3,0.14181860406515,0.132328755610031,0.631222311478858,0.363488178332756,EST
cs,4,0.129082917147673,0.132723582956693,0.552855826938476,0.362212885033916,EST
cs,5,0.133025635783609,0.132651449128038,0.554768497297006,0.362149860505951,EST
cs,6,0.134418272350397,0.132579330431893,0.555531423733882,0.361883619261245,EST
cs,7,0.134418272350397,0.132579330431893,0.555531423733882,0.361883619261245,EST
tp,2,0.135749225413582,0.134565678385255,0.42326439688851,0.368778010789471,EST
tp,3,0.137399290623539,0.133501231190218,0.657903618517074,0.365475241260319,EST
tp,4,0.108353730932584,0.130629832989189,0.326194972162766,0.365319539470383,EST
tp,5,0.133082058178318,0.132970115753951,0.584875375243107,0.362064411772661,EST
tp,6,0.128867420214384,0.13062651640546,0.378095011311288,0.365308487772379,EST
tp,7,0.128867420214278,0.130626515558289,0.378095011311171,0.365308484677812,EST
ts,2,0.135169049437662,0.136033190014848,0.421715457191484,0.369589741119378,EST
ts,3,0.137448051764537,0.131472351755344,0.644398729423281,0.367191444545997,EST
ts,4,0.109608844952731,0.132810677750446,0.326943856593263,0.368590845589241,EST
ts,5,0.134203952084221,0.130988964145934,0.579954484659259,0.363613945794181,EST
ts,6,0.147270888032836,0.136433760090013,0.763942008518517,0.370328606355272,EST
ts,7,0.147270888032842,0.139293082074151,0.763942008518594,0.370608909586092,EST
cs,2,0.0455462785386007,0.0792140810615159,0.120519461942847,0.166644287386817,FIN
cs,3,0.0784684203296944,0.0786655963865826,0.432651073100277,0.178661821915443,FIN
cs,4,0.077556841655297,0.0933089885432979,0.409727393447249,0.271365659576589,FIN
cs,5,0.0835284500083338,0.0960740691279335,0.479877576281559,0.287779890167311,FIN
cs,6,0.0883609765979102,0.0975921802238154,0.530704080971968,0.301916016422812,FIN
cs,7,0.0883609765979106,0.0975921802238154,0.530704080971965,0.301916016422812,FIN
tp,2,0.04552141973628,0.0800647677372002,0.117461707492539,0.173041617378471,FIN
tp,3,0.0778991129662682,0.0773987075150934,0.425868421155274,0.171534057640808,FIN
tp,4,0.0507191085787459,0.0841942391830373,0.248478924933557,0.187925194039074,FIN
tp,5,0.0825289970668265,0.0986944809511925,0.474318809748743,0.32215689714851,FIN
tp,6,0.0526794752749573,0.0779521799035771,0.157014000407807,0.149297041691148,FIN
tp,7,0.0833373248905444,0.0779521794639521,0.466723242517022,0.149297039883902,FIN
ts,2,0.0455317425328609,0.0800264105661123,0.117703584580234,0.173090292318198,FIN
ts,3,0.0776002566729553,0.0773253922038722,0.423200806994095,0.170346693211794,FIN
ts,4,0.050332938488276,0.0837937180485395,0.242934259039356,0.1860831042859,FIN
ts,5,0.0823656927540367,0.0983042542657219,0.471810719905812,0.31850482852434,FIN
ts,6,0.0552757644745788,0.0874539321112818,0.124591794618962,0.222650385519205,FIN
ts,7,0.0552757644328677,0.0874539295463795,0.124591794561999,0.222650368073748,FIN
cs,2,0.0162986693828456,0.0253625263078846,0.0984553019280058,0.0901047810092585,FRATNP
cs,3,0.0224822914690005,0.0154776672487241,0.233602752465347,0.0637616352235878,FRATNP
cs,4,0.0281949246710566,0.0114254271462253,0.321702150543498,0.0930760664316734,FRATNP
cs,5,0.0266854502569767,0.011376357171454,0.305888134637333,0.0971637166041241,FRATNP
cs,6,0.0275094098806871,0.0121813700862598,0.311616708125395,0.103279234125018,FRATNP
cs,7,0.0275094098806871,0.0121813700862599,0.311616708125395,0.10327923412502,FRATNP
tp,2,0.0164881231417696,0.0258422538873234,0.0976749073271335,0.0884567436312109,FRATNP
tp,3,0.0251254298471173,0.0169122251863748,0.265097072663775,0.0894411043398024,FRATNP
tp,4,0.0202614841025109,0.0131263600794834,0.22355057249915,0.0580229076456097,FRATNP
tp,5,0.0287281154173896,0.0112663004032461,0.32609787672841,0.0953098888960816,FRATNP
tp,6,0.0348431173301729,0.0275990545219659,0.408075317667348,0.246306808274848,FRATNP
tp,7,0.0348431173301793,0.0275990545219723,0.40807531766742,0.246306808274929,FRATNP
ts,2,0.0164858459903356,0.0258277933048714,0.0976671366692388,0.0885094943544526,FRATNP
ts,3,0.0250049681080039,0.0168927086444594,0.263853686830049,0.0891447227079431,FRATNP
ts,4,0.0203074546038187,0.0130881788370878,0.224368557791298,0.0572531477161982,FRATNP
ts,5,0.0285369301714335,0.0112223210674009,0.323659263920158,0.0944854815681782,FRATNP
ts,6,0.0350798233648412,0.0274787835135948,0.410832089635816,0.245334861874234,FRATNP
ts,7,0.0350798233648485,0.0274787835136019,0.410832089635891,0.245334861874315,FRATNP
cs,2,0.0516398515184269,0.0646194434281613,0.342547445871828,0.260222321664301,DEUTE
cs,3,0.0984917926630632,0.0819113350134023,1.00738060086908,0.51377857364252,DEUTE
cs,4,0.220046520892493,0.140141410874105,2.33230888677842,1.15360569104488,DEUTE
cs,5,0.546629383876609,0.220273584688401,6.09171313391786,1.97776888329947,DEUTE
cs,6,0.650168146536599,0.288744672913617,7.21031476724012,2.66963883725958,DEUTE
cs,7,0.6501681465366,0.28874467291362,7.21031476724013,2.66963883725962,DEUTE
tp,2,0.0523121286989244,0.0653995398264637,0.344432651366152,0.261320873677458,DEUTE
tp,3,0.0968345371104176,0.0836762507523693,1.00719822754975,0.53845170258318,DEUTE
